title,summary,url
A framework for understanding data science,"The objective of this research is to provide a framework with which the data
science community can understand, define, and develop data science as a field
of inquiry. The framework is based on the classical reference framework
(axiology, ontology, epistemology, methodology) used for 200 years to define
knowledge discovery paradigms and disciplines in the humanities, sciences,
algorithms, and now data science. I augmented it for automated problem-solving
with (methods, technology, community). The resulting data science reference
framework is used to define the data science knowledge discovery paradigm in
terms of the philosophy of data science addressed in previous papers and the
data science problem-solving paradigm, i.e., the data science method, and the
data science problem-solving workflow, both addressed in this paper. The
framework is a much called for unifying framework for data science as it
contains the components required to define data science. For insights to better
understand data science, this paper uses the framework to define the emerging,
often enigmatic, data science problem-solving paradigm and workflow, and to
compare them with their well-understood scientific counterparts, scientific
problem-solving paradigm and workflow.",http://arxiv.org/abs/2403.00776v1
Defining Data Science,"Data science is gaining more and more and widespread attention, but no
consensus viewpoint on what data science is has emerged. As a new science, its
objects of study and scientific issues should not be covered by established
sciences. Data in cyberspace have formed what we call datanature. In the
present paper, data science is defined as the science of exploring datanature.",http://arxiv.org/abs/1501.05039v1
Data Science in Perspective,"Data and Science has stood out in the generation of results, whether in the
projects of the scientific domain or business domain. CERN Project, Scientific
Institutes, companies like Walmart, Google, Apple, among others, need data to
present their results and make predictions in the competitive data world. Data
and Science are words that together culminated in a globally recognized term
called Data Science. Data Science is in its initial phase, possibly being part
of formal sciences and also being presented as part of applied sciences,
capable of generating value and supporting decision making. Data Science
considers science and, consequently, the scientific method to promote decision
making through data intelligence. In many cases, the application of the method
(or part of it) is considered in Data Science projects in scientific domain
(social sciences, bioinformatics, geospatial projects) or business domain
(finance, logistic, retail), among others. In this sense, this article
addresses the perspectives of Data Science as a multidisciplinary area,
considering science and the scientific method, and its formal structure which
integrate Statistics, Computer Science, and Business Science, also taking into
account Artificial Intelligence, emphasizing Machine Learning, among others.
The article also deals with the perspective of applied Data Science, since Data
Science is used for generating value through scientific and business projects.
Data Science persona is also discussed in the article, concerning the education
of Data Science professionals and its corresponding profiles, since its
projection changes the field of data in the world.",http://arxiv.org/abs/2201.05852v1
Data Science: A Comprehensive Overview,"The twenty-first century has ushered in the age of big data and data economy,
in which data DNA, which carries important knowledge, insights and potential,
has become an intrinsic constituent of all data-based organisms. An appropriate
understanding of data DNA and its organisms relies on the new field of data
science and its keystone, analytics. Although it is widely debated whether big
data is only hype and buzz, and data science is still in a very early phase,
significant challenges and opportunities are emerging or have been inspired by
the research, innovation, business, profession, and education of data science.
This paper provides a comprehensive survey and tutorial of the fundamental
aspects of data science: the evolution from data analysis to data science, the
data science concepts, a big picture of the era of data science, the major
challenges and directions in data innovation, the nature of data analytics, new
industrialization and service opportunities in the data economy, the profession
and competency of data education, and the future of data science. This article
is the first in the field to draw a comprehensive big picture, in addition to
offering rich observations, lessons and thinking about data science and
analytics.",http://arxiv.org/abs/2007.03606v1
Ten Research Challenge Areas in Data Science,"Although data science builds on knowledge from computer science, mathematics,
statistics, and other disciplines, data science is a unique field with many
mysteries to unlock: challenging scientific questions and pressing questions of
societal importance. This article starts with meta-questions about data science
as a discipline and then elaborates on ten ideas for the basis of a research
agenda for data science.",http://arxiv.org/abs/2002.05658v1
"The Art and Practice of Data Science Pipelines: A Comprehensive Study of Data Science Pipelines In Theory, In-The-Small, and In-The-Large","Increasingly larger number of software systems today are including data
science components for descriptive, predictive, and prescriptive analytics. The
collection of data science stages from acquisition, to cleaning/curation, to
modeling, and so on are referred to as data science pipelines. To facilitate
research and practice on data science pipelines, it is essential to understand
their nature. What are the typical stages of a data science pipeline? How are
they connected? Do the pipelines differ in the theoretical representations and
that in the practice? Today we do not fully understand these architectural
characteristics of data science pipelines. In this work, we present a
three-pronged comprehensive study to answer this for the state-of-the-art, data
science in-the-small, and data science in-the-large. Our study analyzes three
datasets: a collection of 71 proposals for data science pipelines and related
concepts in theory, a collection of over 105 implementations of curated data
science pipelines from Kaggle competitions to understand data science
in-the-small, and a collection of 21 mature data science projects from GitHub
to understand data science in-the-large. Our study has led to three
representations of data science pipelines that capture the essence of our
subjects in theory, in-the-small, and in-the-large.",http://arxiv.org/abs/2112.01590v3
Embracing Data Science,"Statistics is running the risk of appearing irrelevant to today's
undergraduate students. Today's undergraduate students are familiar with data
science projects and they judge statistics against what they have seen.
Statistics, especially at the introductory level, should take inspiration from
data science so that the discipline is not seen as somehow lesser than data
science. This article provides a brief overview of data science, outlines ideas
for how introductory courses could take inspiration from data science, and
provides a reference to materials for developing stand-alone data science
courses.",http://arxiv.org/abs/1607.00858v1
Defining data science: a new field of inquiry,"Data science is not a science. It is a research paradigm. Its power, scope,
and scale will surpass science, our most powerful research paradigm, to enable
knowledge discovery and change our world. We have yet to understand and define
it, vital to realizing its potential and managing its risks. Modern data
science is in its infancy. Emerging slowly since 1962 and rapidly since 2000,
it is a fundamentally new field of inquiry, one of the most active, powerful,
and rapidly evolving 21st century innovations. Due to its value, power, and
applicability, it is emerging in over 40 disciplines, hundreds of research
areas, and thousands of applications. Millions of data science publications
contain myriad definitions of data science and data science problem solving.
Due to its infancy, many definitions are independent, application specific,
mutually incomplete, redundant, or inconsistent, hence so is data science. This
research addresses this data science multiple definitions challenge by
proposing the development of coherent, unified definition based on a data
science reference framework using a data science journal for the data science
community to achieve such a definition. This paper provides candidate
definitions for essential data science artifacts that are required to discuss
such a definition. They are based on the classical research paradigm concept
consisting of a philosophy of data science, the data science problem solving
paradigm, and the six component data science reference framework (axiology,
ontology, epistemology, methodology, methods, technology) that is a frequently
called for unifying framework with which to define, unify, and evolve data
science. It presents challenges for defining data science, solution approaches,
i.e., means for defining data science, and their requirements and benefits as
the basis of a comprehensive solution.",http://arxiv.org/abs/2306.16177v3
Undergraduate data science education: Who has the microphone and what are they saying?,"The presence of data science has been profound in the scientific community in
almost every discipline. An important part of the data science education
expansion has been at the undergraduate level. We conducted a systematic
literature review to (1) specify current evidence and knowledge gaps in
undergraduate data science education and (2) inform policymakers and data
science educators/practitioners about the present status of data science
education research. The majority of the publications in data science education
that met our search criteria were available open-access. Our results indicate
that data science education research lacks empirical data and reproducibility.
Not all disciplines contribute equally to the field of data science education.
Computer science and data science as a separate field emerge as the leading
contributors to the literature. In contrast, fields such as statistics,
mathematics, as well as other fields closely related to data science exhibit a
limited presence in studies. We recommend that federal agencies and researchers
1) invest in empirical data science education research; 2) diversify research
efforts to enrich the spectrum of types of studies; 3) encourage scholars in
key data science fields that are currently underrepresented in the literature
to contribute more to research and publications.",http://arxiv.org/abs/2403.03387v1
Why Data Science Projects Fail,"Data Science is a modern Data Intelligence practice, which is the core of
many businesses and helps businesses build smart strategies around to deal with
businesses challenges more efficiently. Data Science practice also helps in
automating business processes using the algorithm, and it has several other
benefits, which also deliver in a non-profitable framework. In regards to data
science, three key components primarily influence the effective outcome of a
data science project. Those are 1.Availability of Data 2.Algorithm 3.Processing
power or infrastructure",http://arxiv.org/abs/2308.04896v1
